m337	star wars: the empire strikes back	1982	8.00	42	['animation' 'adventure' 'action' 'fantasy']
m489	star wars: episode vi - return of the jedi	1983	8.30	215058	['action' 'adventure' 'fantasy' 'sci-fi']
m529	star wars	1977	8.80	326619	['action' 'adventure' 'fantasy' 'sci-fi']
m189	spider-man	2002	7.40	169898	['action' 'adventure' 'fantasy' 'sci-fi' 'action' 'adventure' 'sci-fi' 'thriller']
m262	batman	1989	7.60	112731	['crime' 'drama' 'thriller' 'action' 'adventure' 'crime']
m544	superman	1978	7.30	51172	['action' 'family' 'sci-fi']
m86	    hellboy	2004	6.80	68619	['action' 'adventure' 'fantasy']
m98	indiana jones and the last crusade	1989	8.30	174947	['action' 'adventure' 'thriller' 'action' 'adventure' 'fantasy']
m159	pirates of the caribbean	2003	7.20	329	['adventure' 'fantasy' 'horror']
m491	rocky	1976	8.10	100022	['drama' 'romance' 'sport']
m614	x-men	2000	7.40	122149	['action' 'sci-fi']
